
Size	Asmbly	Factor	Solve	Error

1	62	321	177	7.10543e-15

2	91	600	175	7.54952e-15

3	145	850	185	8.43769e-15

4	165	1237	194	1.26565e-14

5	196	1643	209	1.70974e-14

6	276	2261	222	1.68754e-14

7	317	2779	221	2.22045e-14

8	351	3565	232	2.14273e-14

9	394	4298	253	2.39808e-14

10	409	4717	260	3.19744e-14

11	565	5691	288	2.60902e-14

12	596	6621	306	5.00711e-14

13	649	7481	312	4.64073e-14

14	676	8409	324	4.81837e-14

15	708	9470	328	4.61853e-14

16	753	10582	374	4.19664e-14

17	792	11584	398	5.66214e-14

18	828	12835	495	3.9968e-14

19	871	13940	511	5.77316e-14

20	905	15634	1271	6.82787e-14
